time_s,setpoint_deg,angle_deg,angular_rate_deg_s,control_torque_nm,wind_torque_nm
0.8260000000000001,10.0,10.748892713888242,-7.532620091204517,-0.0041608004729575595,0.0
0.8280000000000001,10.0,10.733702232519748,-7.5952406842464475,-0.003995549848034321,0.0
0.8300000000000001,10.0,10.718403463835337,-7.649384342205676,-0.0038324705240082605,0.0
0.8320000000000001,10.0,10.70301288549062,-7.695289172358306,-0.0036716268863550006,0.0
0.834,10.0,10.687546501013347,-7.733192238636021,-0.003513079287949117,0.0
0.836,10.0,10.672019842218672,-7.763329397338289,-0.003356884133265698,0.0
0.838,10.0,10.65644797193996,-7.785935139355669,-0.003203093963082999,0.0
0.84,10.0,10.640845487062322,-7.8012424388189014,-0.003051757539597319,0.0
0.842,10.0,10.62522652184615,-7.809482608086044,-0.002902919931865639,0.0
0.844,10.0,10.609604751528195,-7.810885158977389,-0.002756622601492648,0.0
0.846,10.0,10.593993396187864,-7.805677670165776,-0.00261290348848207,0.0
0.848,10.0,10.578405224866609,-7.794085660627797,-0.0024717970971754365,0.0
0.85,10.0,10.562852559928489,-7.776332469059416,-0.00233333458220173,0.0
0.852,10.0,10.547347281650174,-7.752639139157843,-0.00219754383436693,0.0
0.854,10.0,10.531900833028834,-7.723224310669727,-0.0020644495664118505,0.0
0.856,10.0,10.516524224796624,-7.688304116104351,-0.0019340733985715518,0.0
0.858,10.0,10.501228040630606,-7.648092083009057,-0.0018064339438708028,0.0
0.86,10.0,10.4860224425472,-7.602799041702953,-0.0016815468930927685,0.0
0.862,10.0,10.470917176470472,-7.552633038363794,-0.0015594250993602454,0.0
0.864,10.0,10.455921577963748,-7.497799253361983,-0.0014400786622716715,0.0
0.866,10.0,10.441044578114278,-7.438499924734768,-0.0013235150115359995,0.0
0.868,10.0,10.426294709560892,-7.37493427669297,-0.0012097389900528658,0.0
0.87,10.0,10.411680112654789,-7.307298453051936,-0.0010987529363867391,0.0
0.872,10.0,10.397208541743833,-7.235785455477909,-0.0009905567665860313,0.0
0.874,10.0,10.382887371570952,-7.160585086440621,-0.0008851480553008087,0.0
0.876,10.0,10.368723603777427,-7.081883896762569,-0.0007825221161535923,0.0
0.878,10.0,10.354723873502117,-6.9998651376552745,-0.0006826720813215012,0.0
0.88,10.0,10.340894456067852,-6.914708717132705,-0.0005855889802883871,0.0
0.882,10.0,10.327241273746468,-6.826591160692052,-0.0004912618177297088,0.0
0.884,10.0,10.313769902594164,-6.735685576152119,-0.0003996776504925077,0.0
0.886,10.0,10.300485579349083,-6.6421616225397875,-0.0003108216636368783,0.0
0.888,10.0,10.287393208383252,-6.546185482915256,-0.00022467724550621774,0.0
